Week,Module Number,Module Title,Assignment Type,Assignment Title,Due Date,Description
1,1,Database System Concepts and Architecture,Coding,Database Connection Setup,2025-06-06,Implement a basic database connection using Python/SQL with error handling
2,2,Entity-Relationship (ER) Modelling,Descriptive,ER vs Relational Model Analysis,2025-06-09,400-word comparative analysis of ER and relational models with examples
2,2,Entity-Relationship (ER) Modelling,Debugging,ER Diagram Correction,2025-06-11,Identify and fix 4 conceptual errors in a provided ER diagram
3,3,Relational Model-Keys,Coding,Key Implementation Exercise,2025-06-13,Create a table schema with proper key constraints using SQL
4,4,Integrity Constraints,Descriptive,Constraint Enforcement Analysis,2025-06-16,400-word analysis of real-world scenarios requiring different integrity constraints
4,4,Integrity Constraints,Debugging,Constraint Violation Fix,2025-06-18,Identify and resolve 3 constraint violations in a provided database script
5,5,Mapping ER model to Relational Schema,Quiz,Schema Mapping Quiz,2025-06-18,15 MCQs on ER-to-relational mapping rules and techniques
5,5,Mapping ER model to Relational Schema,Coding,Schema Conversion Implementation,2025-06-20,Convert a given ER diagram to a functional relational schema
6,6,Normalization,Descriptive,Normalization Trade-offs,2025-06-23,400-word analysis of normalization benefits vs performance considerations
6,6,Normalization,Debugging,Normalization Errors,2025-06-25,Identify and correct 3 normalization errors in a provided database design
7,7,Boyce Codd Normal Form,Quiz,BCNF Concepts Quiz,2025-06-25,15 MCQs testing understanding of BCNF and normalization forms
7,7,Boyce Codd Normal Form,Coding,BCNF Implementation,2025-06-27,Normalize a given database to BCNF with proper justification
8,8,Multi-valued dependency and Fourth Normal form,Descriptive,MVD Analysis,2025-06-30,400-word explanation of multi-valued dependencies with real-world examples
8,8,Multi-valued dependency and Fourth Normal form,Debugging,4NF Correction Exercise,2025-07-02,Identify and resolve multi-valued dependency issues in a schema
9,9,Storage and File Structure,Coding,File Organization Implementation,2025-07-04,Implement different file organization methods with performance comparison
10,10,Indexing,Descriptive,Indexing Strategy Analysis,2025-07-07,400-word analysis of indexing strategies for different query patterns
10,10,Indexing,Debugging,Index Optimization,2025-07-09,Identify and fix 3 suboptimal index implementations
11,11,Query processing,Coding,Query Execution Plan Analysis,2025-07-11,Analyze and optimize given query execution plans
12,12,Query Optimization,Descriptive,Optimizer Comparison,2025-07-14,400-word comparison of rule-based vs cost-based optimization
12,12,Query Optimization,Debugging,Query Performance Fix,2025-07-16,Identify and resolve 3 performance bottlenecks in given queries
13,13,Transaction Management,Quiz,ACID Properties Quiz,2025-07-16,15 MCQs testing understanding of transaction properties
13,13,Transaction Management,Coding,Transaction Implementation,2025-07-18,Implement proper transaction handling in a banking scenario
14,14,Concurrency Control,Descriptive,Concurrency Methods Analysis,2025-07-21,400-word comparison of locking vs timestamp concurrency control
14,14,Concurrency Control,Debugging,Deadlock Resolution,2025-07-23,Identify and resolve deadlock scenarios in provided transaction logs
